vin	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	1.800000e+000
1.000000000000000e-004	1.000000e-004	1.800000e+000
2.000000000000000e-004	2.000000e-004	1.800000e+000
3.000000000000000e-004	3.000000e-004	1.800000e+000
4.000000000000000e-004	4.000000e-004	1.800000e+000
5.000000000000000e-004	5.000000e-004	1.800000e+000
6.000000000000001e-004	6.000000e-004	1.800000e+000
7.000000000000001e-004	7.000000e-004	1.800000e+000
8.000000000000002e-004	8.000000e-004	1.800000e+000
9.000000000000002e-004	9.000000e-004	1.800000e+000
1.000000000000000e-003	1.000000e-003	1.800000e+000
1.100000000000000e-003	1.100000e-003	1.800000e+000
1.200000000000000e-003	1.200000e-003	1.800000e+000
1.300000000000000e-003	1.300000e-003	1.800000e+000
1.400000000000000e-003	1.400000e-003	1.800000e+000
1.500000000000001e-003	1.500000e-003	1.800000e+000
1.600000000000001e-003	1.600000e-003	1.800000e+000
1.700000000000001e-003	1.700000e-003	1.800000e+000
1.800000000000001e-003	1.800000e-003	1.800000e+000
1.900000000000001e-003	1.900000e-003	1.800000e+000
2.000000000000001e-003	2.000000e-003	1.800000e+000
2.100000000000000e-003	2.100000e-003	1.800000e+000
2.200000000000000e-003	2.200000e-003	1.800000e+000
2.300000000000000e-003	2.300000e-003	1.800000e+000
2.400000000000000e-003	2.400000e-003	1.800000e+000
2.500000000000000e-003	2.500000e-003	1.800000e+000
2.599999999999999e-003	2.600000e-003	1.800000e+000
2.699999999999999e-003	2.700000e-003	1.800000e+000
2.799999999999999e-003	2.800000e-003	1.800000e+000
2.899999999999999e-003	2.900000e-003	1.800000e+000
2.999999999999999e-003	3.000000e-003	1.800000e+000
3.099999999999999e-003	3.100000e-003	1.800000e+000
3.199999999999998e-003	3.200000e-003	1.800000e+000
3.299999999999998e-003	3.300000e-003	1.800000e+000
3.399999999999998e-003	3.400000e-003	1.800000e+000
3.499999999999998e-003	3.500000e-003	1.800000e+000
3.599999999999998e-003	3.600000e-003	1.800000e+000
3.699999999999998e-003	3.700000e-003	1.800000e+000
3.799999999999997e-003	3.800000e-003	1.800000e+000
3.899999999999997e-003	3.900000e-003	1.800000e+000
3.999999999999998e-003	4.000000e-003	1.800000e+000
4.099999999999998e-003	4.100000e-003	1.800000e+000
4.199999999999998e-003	4.200000e-003	1.800000e+000
4.299999999999998e-003	4.300000e-003	1.800000e+000
4.399999999999999e-003	4.400000e-003	1.800000e+000
4.499999999999999e-003	4.500000e-003	1.800000e+000
4.599999999999999e-003	4.600000e-003	1.800000e+000
4.699999999999999e-003	4.700000e-003	1.800000e+000
4.800000000000000e-003	4.800000e-003	1.800000e+000
